equation_set,equation_type,term_name,coefficient
18,x,t_x,0.23767491264911736
18,x,t^2_x,0.005401809891442381
18,x,x*dx/dt_x,-0.4381847153042901
18,x,y*dy/dt_x,0.008683906303406057
18,x,dx/dt*dy/dt_x,0.004342579006254819
18,x,dx/dt*d^2x/dt^2_x,0.003863811676980756
18,x,dx/dt*d^2y/dt^2_x,0.700221252512479
18,x,dx/dt*t_x,0.010274054609952616
18,x,d^2y/dt^2*t_x,0.011465285435478069
18,x,d^2y/dt^2*sin_x,0.001859763882850495
18,y,C_y,0.45275223197786035
18,y,x_y,-0.5377461774285258
18,y,y_y,-0.01079073353640029
18,y,dx/dt_y,0.3006949304480782
18,y,d^2x/dt^2_y,0.2512959279753192
18,y,dy/dt_y,0.530156280055839
